kind,solver,t_obs_s,nearest_track_time_s,gamma_e,dnde,ratio_dg_to_fullhide
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.05541858e+09,1.31545192e+31,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.28000606e+09,3.62423343e+30,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.55238456e+09,8.84270551e+29,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.88272375e+09,1.86374416e+29,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.28335738e+09,3.29214259e+28,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.76924373e+09,4.69725289e+27,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.35852410e+09,5.17524116e+26,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.07320022e+09,4.16724719e+25,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,4.93995562e+09,2.29294233e+24,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,5.99115198e+09,7.94057724e+22,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,7.26603734e+09,1.56525125e+21,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,8.81221155e+09,1.55343598e+19,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.06874034e+10,6.68254122e+16,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.29616262e+10,1.03799137e+14,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.57197915e+10,4.65908086e+10,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,1.90648798e+10,4.60643490e+06,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.31217851e+10,7.21106365e+01,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,2.80419783e+10,1.19761704e-04,
spectrum,fullhide_1d,1.00000000e+05,8.94667946e+04,3.40091625e+10,1.42197500e-09,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,3.00000000e+00,1.35177351e+43,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,3.63838409e+00,1.99097891e+43,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,4.41261293e+00,3.02735222e+43,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,5.35159355e+00,4.62093121e+43,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,6.49038428e+00,7.09948691e+43,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,7.87150363e+00,1.11176391e+44,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,9.54651785e+00,1.83162859e+44,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.15779662e+01,3.39417803e+44,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.40416960e+01,7.80400872e+44,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.70296945e+01,2.36553499e+45,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,2.06535231e+01,9.10046513e+45,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,2.50484833e+01,4.07171917e+46,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,3.03786677e+01,1.97177919e+47,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,3.68430870e+01,9.91844373e+47,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,4.46831005e+01,5.08952994e+48,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,5.41914274e+01,2.64810368e+49,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,6.57230757e+01,1.38687619e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,7.97085976e+01,6.93878305e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,9.66701644e+01,3.11777994e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.17241063e+02,4.02429303e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.42189339e+02,3.74528025e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.72446476e+02,3.09532990e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,2.09142172e+02,2.39928276e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,2.53646517e+02,1.77793646e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,3.07621150e+02,1.27316388e+51,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,3.73081299e+02,8.88951426e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,4.52471021e+02,6.08728285e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,5.48754454e+02,4.10226026e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,6.65526492e+02,2.72999955e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,8.07146999e+02,1.79858710e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,9.78903599e+02,1.17572460e+50,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.18720909e+03,7.63958126e+49,
spectrum,fullhide_1d,1.00000000e+07,9.42249237e+06,1.43984089e+03,4.94174056e+49,
