theta_obs_over_theta_c,time_s,frequency_hz,uniform,adaptive,relative
1.5,31622.776601683792,10000000000.0,6.431621275872658e-26,6.529905315056889e-26,0.0152813785153878
1.5,42169.65034285822,10000000000.0,7.906573323518806e-26,7.862736147076498e-26,-0.005544396371043536
1.5,56234.13251903491,10000000000.0,8.787906625398724e-26,8.876498651445826e-26,0.010081129650496568
1.5,74989.42093324558,10000000000.0,1.0269008351061886e-25,1.0308724235069626e-25,0.0038675481263614753
1.5,100000.0,10000000000.0,1.1772159086717171e-25,1.1558613706878398e-25,-0.01813986527583733
1.5,133352.1432163324,10000000000.0,1.3090273952304836e-25,1.2761135109066465e-25,-0.02514377043884697
1.5,177827.94100389228,10000000000.0,1.4119650247879059e-25,1.3882692768945817e-25,-0.01678210683503545
1.5,237137.37056616554,10000000000.0,1.488598088710241e-25,1.4761913202361932e-25,-0.00833453204605239
1.5,316227.7660168379,10000000000.0,1.5141547708053995e-25,1.497169232137052e-25,-0.011217835188217062
1.5,421696.5034285822,10000000000.0,1.5474331255422836e-25,1.5284947367916498e-25,-0.012238583004352432
1.5,562341.3251903491,10000000000.0,1.483094903207287e-25,1.4681471167550772e-25,-0.010078779463056797
1.5,749894.2093324559,10000000000.0,1.2916542563426143e-25,1.2793786219970228e-25,-0.00950380822523711
1.5,1000000.0,10000000000.0,1.2338718369579879e-25,1.2212143024657712e-25,-0.010258386740897518
1.5,1000.0,100000000000000.0,3.7246129275857084e-26,3.6787287383983557e-26,-0.012319183249222876
1.5,1333.521432163324,100000000000000.0,7.756410819282981e-26,7.418633250455729e-26,-0.04354817926707977
1.5,1778.2794100389228,100000000000000.0,1.173055257183104e-25,1.1153515583353167e-25,-0.04919094688374093
1.5,2371.373705661655,100000000000000.0,1.9075867380297301e-25,1.8641775747878179e-25,-0.022756062608585648
1.5,3162.2776601683795,100000000000000.0,2.6674431949062903e-25,2.632916751321881e-25,-0.012943647178819129
1.5,4216.965034285822,100000000000000.0,2.9038192059985457e-25,2.8546668894792044e-25,-0.016926782637777582
1.5,5623.413251903491,100000000000000.0,2.7960032332717336e-25,2.849349016552752e-25,0.019079299568118158
1.5,7498.942093324558,100000000000000.0,2.606976077342496e-25,2.5248712832378307e-25,-0.03149426449220105
1.5,10000.0,100000000000000.0,2.4415975135210376e-25,2.501091767908614e-25,0.024366937653773846
1.5,13335.21432163324,100000000000000.0,2.524765304438114e-25,2.490455116766004e-25,-0.013589456260270416
1.5,17782.794100389227,100000000000000.0,2.744334949392008e-25,2.6867487728470245e-25,-0.020983654549070807
1.5,23713.737056616552,100000000000000.0,2.6469538951431903e-25,2.680390340769286e-25,0.012632046854857304
