solver,component,band,frequency_hz,time_s,flux_mjy
fullhide_1d,total,1 keV,2.417989242000e+17,5.324953129838e+04,1.239591168641e-27
fullhide_1d,total,1 keV,2.417989242000e+17,6.464371632490e+04,7.644475706245e-28
fullhide_1d,total,1 keV,2.417989242000e+17,7.847599703515e+04,4.827192508921e-28
fullhide_1d,total,1 keV,2.417989242000e+17,9.526807029020e+04,3.113955666755e-28
fullhide_1d,total,1 keV,2.417989242000e+17,1.156532641790e+05,2.038981122502e-28
fullhide_1d,total,1 keV,2.417989242000e+17,1.404004245548e+05,1.339569709088e-28
fullhide_1d,total,1 keV,2.417989242000e+17,1.704429127453e+05,8.652422317319e-29
fullhide_1d,total,1 keV,2.417989242000e+17,2.069138081115e+05,5.413750045339e-29
fullhide_1d,total,1 keV,2.417989242000e+17,2.511886431510e+05,3.293924838583e-29
fullhide_1d,total,1 keV,2.417989242000e+17,3.049372829387e+05,1.980209508939e-29
fullhide_1d,total,1 keV,2.417989242000e+17,3.701869055846e+05,1.188923256972e-29
fullhide_1d,total,1 keV,2.417989242000e+17,4.493984590722e+05,7.162402513887e-30
fullhide_1d,total,1 keV,2.417989242000e+17,5.455594781169e+05,4.351512875503e-30
fullhide_1d,total,1 keV,2.417989242000e+17,6.622967617148e+05,2.693910914282e-30
fullhide_1d,total,1 keV,2.417989242000e+17,8.040131611168e+05,1.753238340834e-30
fullhide_1d,total,1 keV,2.417989242000e+17,9.760536373079e+05,1.254706466920e-30
fullhide_1d,total,1 keV,2.417989242000e+17,1.184906851001e+06,9.988461101975e-31
fullhide_1d,total,1 keV,2.417989242000e+17,1.438449888288e+06,8.382929096745e-31
fullhide_1d,total,1 keV,2.417989242000e+17,1.746245352002e+06,6.969943414433e-31
fullhide_1d,total,1 keV,2.417989242000e+17,2.119902023850e+06,5.594016594858e-31
fullhide_1d,total,1 keV,2.417989242000e+17,2.573512700017e+06,4.319603360395e-31
fullhide_1d,total,1 keV,2.417989242000e+17,3.124185713603e+06,3.232517224297e-31
fullhide_1d,total,1 keV,2.417989242000e+17,3.792690190732e+06,2.367810870436e-31
fullhide_1d,total,1 keV,2.417989242000e+17,4.604239376759e+06,1.705644037181e-31
fullhide_1d,total,1 keV,2.417989242000e+17,5.589441576403e+06,1.215054573502e-31
fullhide_1d,total,1 keV,2.417989242000e+17,6.785454573394e+06,8.600310941602e-32
fullhide_1d,total,1 keV,2.417989242000e+17,8.237387069571e+06,6.067957196099e-32
fullhide_1d,total,1 keV,2.417989242000e+17,1.000000000000e+07,4.277321285664e-32
fullhide_1d,total,100 MeV,2.417989242000e+22,1.000000000000e-01,8.830326944258e-29
fullhide_1d,total,100 MeV,2.417989242000e+22,1.213977189070e-01,1.251903385313e-28
fullhide_1d,total,100 MeV,2.417989242000e+22,1.473740615582e-01,1.786984582601e-28
fullhide_1d,total,100 MeV,2.417989242000e+22,1.789087489923e-01,2.566798791920e-28
fullhide_1d,total,100 MeV,2.417989242000e+22,2.171911402017e-01,3.699201782753e-28
fullhide_1d,total,100 MeV,2.417989242000e+22,2.636650898730e-01,5.337806945775e-28
fullhide_1d,total,100 MeV,2.417989242000e+22,3.200834046600e-01,7.698287488269e-28
fullhide_1d,total,100 MeV,2.417989242000e+22,3.885739518571e-01,1.108792751192e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,4.717199138213e-01,1.587003616628e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,5.726572150092e-01,2.241822216211e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,6.951927961776e-01,3.095005770203e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,8.439481965654e-01,4.119862251115e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,1.024533859387e+00,5.209729908787e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,1.243760734726e+00,6.174316482091e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,1.509897160618e+00,6.805860872116e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,1.832980710832e+00,6.962999902101e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,2.225196770956e+00,6.674457150802e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,2.701338121133e+00,6.065380986044e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,3.279362859021e+00,5.298974730093e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,3.981071705535e+00,4.481087058970e-27
fullhide_1d,total,100 MeV,2.417989242000e+22,4.832930238572e+00,3.707458553451e-27
