scenario,solver,band,nu_hz,t_obs_s,flux_density
ISM,fullhide_1d,100MeV,2.41798900e+22,2.61650470e+04,2.63971302e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,2.94004806e+04,2.17610658e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,3.30359912e+04,1.76806803e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,3.71210501e+04,1.41394990e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,4.17112461e+04,1.11433207e-32
ISM,fullhide_1d,100MeV,2.41798900e+22,4.68690419e+04,8.66230689e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,5.26646239e+04,6.66369518e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,5.91768575e+04,5.08574231e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,6.64943600e+04,3.86393560e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,7.47167068e+04,2.92589920e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,8.39557862e+04,2.21447914e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,9.43373222e+04,1.67507763e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,1.06002585e+05,1.26924469e-33
ISM,fullhide_1d,100MeV,2.41798900e+22,1.19110313e+05,9.62123857e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,1.33838875e+05,7.31261948e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,1.50388695e+05,5.56267797e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,1.68984979e+05,4.24211634e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,1.89880782e+05,3.23508733e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,2.13360453e+05,2.47449078e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,2.39743497e+05,1.89574823e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,2.69388931e+05,1.45783505e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,3.02700165e+05,1.11891495e-34
ISM,fullhide_1d,100MeV,2.41798900e+22,3.40130494e+05,8.64558416e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,3.82189262e+05,6.66318711e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,4.29448799e+05,5.15890275e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,4.82552204e+05,3.99546152e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,5.42222101e+05,3.09604998e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,6.09270466e+05,2.39956229e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,6.84609684e+05,1.86575574e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,7.69264957e+05,1.44732171e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,8.64388262e+05,1.13230265e-35
ISM,fullhide_1d,100MeV,2.41798900e+22,9.71274020e+05,8.77831779e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,1.09137671e+06,6.90587392e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,1.22633068e+06,5.35480108e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,1.37797236e+06,4.23319010e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,1.54836526e+06,3.28588292e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,1.73982805e+06,2.60843302e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,1.95496614e+06,2.02858377e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,2.19670709e+06,1.61385463e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,2.46834047e+06,1.25520505e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,2.77356261e+06,1.00005054e-36
ISM,fullhide_1d,100MeV,2.41798900e+22,3.11652694e+06,7.80875469e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,3.50190046e+06,6.23366735e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,3.93492726e+06,4.88871367e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,4.42149991e+06,3.90862923e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,4.96823959e+06,3.07782825e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,5.58258627e+06,2.46509612e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,6.27289986e+06,1.94881957e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,7.04857404e+06,1.56395962e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,7.92016405e+06,1.24125251e-37
ISM,fullhide_1d,100MeV,2.41798900e+22,8.89953035e+06,9.98312752e-38
ISM,fullhide_1d,100MeV,2.41798900e+22,1.00000000e+07,7.95366265e-38
ISM,dg_1d,10GHz,1.00000000e+10,1.00000000e+03,5.56176098e-26
ISM,dg_1d,10GHz,1.00000000e+10,1.12365480e+03,5.84486313e-26
ISM,dg_1d,10GHz,1.00000000e+10,1.26260011e+03,6.12654166e-26
ISM,dg_1d,10GHz,1.00000000e+10,1.41872667e+03,6.40858431e-26
ISM,dg_1d,10GHz,1.00000000e+10,1.59415904e+03,6.72701022e-26
ISM,dg_1d,10GHz,1.00000000e+10,1.79128445e+03,7.07273810e-26
ISM,dg_1d,10GHz,1.00000000e+10,2.01278538e+03,7.46487203e-26
ISM,dg_1d,10GHz,1.00000000e+10,2.26167595e+03,7.88723510e-26
ISM,dg_1d,10GHz,1.00000000e+10,2.54134304e+03,8.33765387e-26
ISM,dg_1d,10GHz,1.00000000e+10,2.85559230e+03,8.80916781e-26
ISM,dg_1d,10GHz,1.00000000e+10,3.20870000e+03,9.28171121e-26
ISM,dg_1d,10GHz,1.00000000e+10,3.60547115e+03,9.74796364e-26
ISM,dg_1d,10GHz,1.00000000e+10,4.05130497e+03,1.02573796e-25
ISM,dg_1d,10GHz,1.00000000e+10,4.55226828e+03,1.08107417e-25
ISM,dg_1d,10GHz,1.00000000e+10,5.11517810e+03,1.14126975e-25
ISM,dg_1d,10GHz,1.00000000e+10,5.74769442e+03,1.20509438e-25
ISM,dg_1d,10GHz,1.00000000e+10,6.45842443e+03,1.27278227e-25
ISM,dg_1d,10GHz,1.00000000e+10,7.25703961e+03,1.34371952e-25
ISM,dg_1d,10GHz,1.00000000e+10,8.15440740e+03,1.41745070e-25
ISM,dg_1d,10GHz,1.00000000e+10,9.16273901e+03,1.49344836e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.02957557e+04,1.57772843e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.15688753e+04,1.67001951e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.29994222e+04,1.76806004e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.46068632e+04,1.87042001e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.64130720e+04,1.97904565e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.84426271e+04,2.09237704e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.07231465e+04,2.20558216e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.32856630e+04,2.31545704e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.61650470e+04,2.43327750e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.94004806e+04,2.55503158e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.30359912e+04,2.67220475e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.71210501e+04,2.78204014e-25
ISM,dg_1d,10GHz,1.00000000e+10,4.17112461e+04,2.87803226e-25
ISM,dg_1d,10GHz,1.00000000e+10,4.68690419e+04,2.95736093e-25
ISM,dg_1d,10GHz,1.00000000e+10,5.26646239e+04,3.01205399e-25
ISM,dg_1d,10GHz,1.00000000e+10,5.91768575e+04,3.03645383e-25
ISM,dg_1d,10GHz,1.00000000e+10,6.64943600e+04,3.05599328e-25
ISM,dg_1d,10GHz,1.00000000e+10,7.47167068e+04,3.08235674e-25
ISM,dg_1d,10GHz,1.00000000e+10,8.39557862e+04,3.08764020e-25
ISM,dg_1d,10GHz,1.00000000e+10,9.43373222e+04,3.07394845e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.06002585e+05,3.05239755e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.19110313e+05,3.03628648e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.33838875e+05,3.00702779e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.50388695e+05,2.95160431e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.68984979e+05,2.91325717e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.89880782e+05,2.88677213e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.13360453e+05,2.87212211e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.39743497e+05,2.85730882e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.69388931e+05,2.80355382e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.02700165e+05,2.71783138e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.40130494e+05,2.65951586e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.82189262e+05,2.64922234e-25
ISM,dg_1d,10GHz,1.00000000e+10,4.29448799e+05,2.63590451e-25
ISM,dg_1d,10GHz,1.00000000e+10,4.82552204e+05,2.57989916e-25
ISM,dg_1d,10GHz,1.00000000e+10,5.42222101e+05,2.51642326e-25
ISM,dg_1d,10GHz,1.00000000e+10,6.09270466e+05,2.45470491e-25
ISM,dg_1d,10GHz,1.00000000e+10,6.84609684e+05,2.41620163e-25
ISM,dg_1d,10GHz,1.00000000e+10,7.69264957e+05,2.38305269e-25
ISM,dg_1d,10GHz,1.00000000e+10,8.64388262e+05,2.33259477e-25
ISM,dg_1d,10GHz,1.00000000e+10,9.71274020e+05,2.26478505e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.09137671e+06,2.20272834e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.22633068e+06,2.12991932e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.37797236e+06,2.07014898e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.54836526e+06,1.99416048e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.73982805e+06,1.90949397e-25
ISM,dg_1d,10GHz,1.00000000e+10,1.95496614e+06,1.80375159e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.19670709e+06,1.68533573e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.46834047e+06,1.55844996e-25
ISM,dg_1d,10GHz,1.00000000e+10,2.77356261e+06,1.44371772e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.11652694e+06,1.31768568e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.50190046e+06,1.18941164e-25
ISM,dg_1d,10GHz,1.00000000e+10,3.93492726e+06,1.05740755e-25
ISM,dg_1d,10GHz,1.00000000e+10,4.42149991e+06,9.31141871e-26
ISM,dg_1d,10GHz,1.00000000e+10,4.96823959e+06,8.09399198e-26
ISM,dg_1d,10GHz,1.00000000e+10,5.58258627e+06,7.02236352e-26
ISM,dg_1d,10GHz,1.00000000e+10,6.27289986e+06,6.02076443e-26
ISM,dg_1d,10GHz,1.00000000e+10,7.04857404e+06,5.16292794e-26
ISM,dg_1d,10GHz,1.00000000e+10,7.92016405e+06,4.38512225e-26
ISM,dg_1d,10GHz,1.00000000e+10,8.89953035e+06,3.73918442e-26
ISM,dg_1d,10GHz,1.00000000e+10,1.00000000e+07,3.16150609e-26
ISM,dg_1d,Rband,4.60000000e+14,1.00000000e+03,1.80870780e-24
ISM,dg_1d,Rband,4.60000000e+14,1.12365480e+03,1.88170388e-24
ISM,dg_1d,Rband,4.60000000e+14,1.26260011e+03,1.95094111e-24
ISM,dg_1d,Rband,4.60000000e+14,1.41872667e+03,2.01652927e-24
