raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
1234,2.043435058594e+17,1.135105229288e-22,6.786382584199e+01,2.239506252786e+01,4.855026643661e+01,1.800024169643e+08,6.459099386187e+02,1.000000000000e+00,9.859103246933e+27
1235,2.045090332031e+17,1.133268710187e-22,6.775402702404e+01,2.235882891794e+01,4.847171557687e+01,1.800024174939e+08,6.456139151057e+02,1.000000000000e+00,9.859105164798e+27
1236,2.046745605469e+17,1.131436109979e-22,6.764446250250e+01,2.232267262582e+01,4.839333233443e+01,1.800024180226e+08,6.453192784860e+02,1.000000000000e+00,9.859102421693e+27
1237,2.048400878906e+17,1.129608507346e-22,6.753519676784e+01,2.228661493339e+01,4.831516284628e+01,1.800024185504e+08,6.450239704721e+02,1.000000000000e+00,9.859104535219e+27
1238,2.050056152344e+17,1.127785062083e-22,6.742617958725e+01,2.225063926379e+01,4.823717117549e+01,1.800024190768e+08,6.447296850997e+02,1.000000000000e+00,9.859104309192e+27
1239,2.051711425781e+17,1.125965841680e-22,6.731741499573e+01,2.221474694859e+01,4.815936020873e+01,1.800024196029e+08,6.444356407871e+02,1.000000000000e+00,9.859102448216e+27
1240,2.053366699219e+17,1.124151564142e-22,6.720894592019e+01,2.217895215366e+01,4.808176065620e+01,1.800024201277e+08,6.441414386744e+02,1.000000000000e+00,9.859105366168e+27
1241,2.055021972656e+17,1.122341059884e-22,6.710070243537e+01,2.214323180368e+01,4.800432249292e+01,1.800024206517e+08,6.438483314767e+02,1.000000000000e+00,9.859102936492e+27
1242,2.056677246094e+17,1.120535252017e-22,6.699273973074e+01,2.210760411114e+01,4.792708520175e+01,1.800024211754e+08,6.435551169925e+02,1.000000000000e+00,9.859103379441e+27
1243,2.058332519531e+17,1.118733946890e-22,6.688504622861e+01,2.207206525544e+01,4.785004049999e+01,1.800024216983e+08,6.432621876378e+02,1.000000000000e+00,9.859105126144e+27
1244,2.059987792969e+17,1.116936427605e-22,6.677757906825e+01,2.203660109252e+01,4.777315772476e+01,1.800024222211e+08,6.429701522186e+02,1.000000000000e+00,9.859101978395e+27
1245,2.061643066406e+17,1.115143895982e-22,6.667041010211e+01,2.200123533369e+01,4.769648827980e+01,1.800024227434e+08,6.426776108900e+02,1.000000000000e+00,9.859104661187e+27
1246,2.063298339844e+17,1.113355279534e-22,6.656347521009e+01,2.196594681934e+01,4.761998629317e+01,1.800024232653e+08,6.423859222813e+02,1.000000000000e+00,9.859103828370e+27
1247,2.064953613281e+17,1.111570863242e-22,6.645679143017e+01,2.193074117196e+01,4.754366395391e+01,1.800024237871e+08,6.420947463845e+02,1.000000000000e+00,9.859102113234e+27
1248,2.066608886719e+17,1.109791280851e-22,6.635039665166e+01,2.189563089504e+01,4.746754836830e+01,1.800024243088e+08,6.418032032674e+02,1.000000000000e+00,9.859105263891e+27
1249,2.068264160156e+17,1.108015265222e-22,6.624421511692e+01,2.186059098858e+01,4.739158533882e+01,1.800024248306e+08,6.415129362242e+02,1.000000000000e+00,9.859102150806e+27
1250,2.069919433594e+17,1.106243969077e-22,6.613831574302e+01,2.182564419520e+01,4.731582416925e+01,1.800024253525e+08,6.412225077526e+02,1.000000000000e+00,9.859103138912e+27
1251,2.071574707031e+17,1.104476964105e-22,6.603267292278e+01,2.179078206452e+01,4.724024653998e+01,1.800024258747e+08,6.409322003049e+02,1.000000000000e+00,9.859104546044e+27
1252,2.073229980469e+17,1.102713649728e-22,6.592725074985e+01,2.175599274746e+01,4.716482676340e+01,1.800024263974e+08,6.406430406270e+02,1.000000000000e+00,9.859101125738e+27
1253,2.074885253906e+17,1.100955298890e-22,6.582212532891e+01,2.172130135853e+01,4.708961928527e+01,1.800024269210e+08,6.403531100783e+02,1.000000000000e+00,9.859104374954e+27
1254,2.076540527344e+17,1.099200629916e-22,6.571722003327e+01,2.168668261098e+01,4.701456928640e+01,1.800024274445e+08,6.400643203579e+02,1.000000000000e+00,9.859102950481e+27
1255,2.078195800781e+17,1.097450159823e-22,6.561256577350e+01,2.165214670524e+01,4.693969888035e+01,1.800024279668e+08,6.397755646971e+02,1.000000000000e+00,9.859101594879e+27
1256,2.079851074219e+17,1.095704409237e-22,6.550819367594e+01,2.161770391305e+01,4.686503033518e+01,1.800024284864e+08,6.394869139635e+02,1.000000000000e+00,9.859105113071e+27
1257,2.081506347656e+17,1.093962036595e-22,6.540402353340e+01,2.158332776603e+01,4.679050627011e+01,1.800024290044e+08,6.391992312205e+02,1.000000000000e+00,9.859101557509e+27
1258,2.083161621094e+17,1.092224419661e-22,6.530013771740e+01,2.154904544673e+01,4.671618561423e+01,1.800024295211e+08,6.389114052960e+02,1.000000000000e+00,9.859103450356e+27
1259,2.084816894531e+17,1.090490876445e-22,6.519649545423e+01,2.151484349990e+01,4.664203919782e+01,1.800024300353e+08,6.386238290634e+02,1.000000000000e+00,9.859104770938e+27
1260,2.086472167969e+17,1.088760933991e-22,6.509306846756e+01,2.148071259429e+01,4.656804679174e+01,1.800024305486e+08,6.383373730868e+02,1.000000000000e+00,9.859101352565e+27
1261,2.088127441406e+17,1.087035934318e-22,6.498993699185e+01,2.144667920731e+01,4.649426579632e+01,1.800024310605e+08,6.380501242918e+02,1.000000000000e+00,9.859105462961e+27
1262,2.089782714844e+17,1.085314348267e-22,6.488700960422e+01,2.141271316939e+01,4.642063080696e+01,1.800024315708e+08,6.377641545709e+02,1.000000000000e+00,9.859103365240e+27
1263,2.091437988281e+17,1.083596978119e-22,6.478433427014e+01,2.137883030916e+01,4.634717613856e+01,1.800024320805e+08,6.374781872492e+02,1.000000000000e+00,9.859102447403e+27
1264,2.093093261719e+17,1.081884172759e-22,6.468193184819e+01,2.134503750991e+01,4.627391671341e+01,1.800024325886e+08,6.371921546356e+02,1.000000000000e+00,9.859106012148e+27
1265,2.094748535156e+17,1.080174551655e-22,6.457971980135e+01,2.131130753444e+01,4.620079348395e+01,1.800024330962e+08,6.369074127307e+02,1.000000000000e+00,9.859101597646e+27
1266,2.096403808594e+17,1.078469728943e-22,6.447779463298e+01,2.127767222888e+01,4.612787548943e+01,1.800024336032e+08,6.366220130464e+02,1.000000000000e+00,9.859104039228e+27
1267,2.098059082031e+17,1.076768729277e-22,6.437609803066e+01,2.124411235011e+01,4.605512101268e+01,1.800024341093e+08,6.363373397972e+02,1.000000000000e+00,9.859104555855e+27
1268,2.099714355469e+17,1.075071280541e-22,6.427461372557e+01,2.121062252944e+01,4.598251841494e+01,1.800024346154e+08,6.360535757727e+02,1.000000000000e+00,9.859100759530e+27
1269,2.101369628906e+17,1.073378748222e-22,6.417342335523e+01,2.117722970722e+01,4.591012610016e+01,1.800024351212e+08,6.357689599000e+02,1.000000000000e+00,9.859105288311e+27
1270,2.103024902344e+17,1.071689380563e-22,6.407242218844e+01,2.114389932219e+01,4.583786914299e+01,1.800024356269e+08,6.354857509784e+02,1.000000000000e+00,9.859102182237e+27
1271,2.104680175781e+17,1.070004291551e-22,6.397167682643e+01,2.111065335272e+01,4.576579519037e+01,1.800024361325e+08,6.352024888591e+02,1.000000000000e+00,9.859101785320e+27
1272,2.106335449219e+17,1.068323611897e-22,6.387119508395e+01,2.107749437770e+01,4.569390983306e+01,1.800024366381e+08,6.349190312651e+02,1.000000000000e+00,9.859105432191e+27
1273,2.107990722656e+17,1.066645957847e-22,6.377089423137e+01,2.104439509635e+01,4.562215388566e+01,1.800024371439e+08,6.346372181000e+02,1.000000000000e+00,9.859100467003e+27
1274,2.109645996094e+17,1.064973166294e-22,6.367088408985e+01,2.101139174965e+01,4.555060591507e+01,1.800024376497e+08,6.343544359103e+02,1.000000000000e+00,9.859103969341e+27
1275,2.111301269531e+17,1.063303928469e-22,6.357108641284e+01,2.097845851624e+01,4.547920994308e+01,1.800024381560e+08,6.340726266108e+02,1.000000000000e+00,9.859103958737e+27
1276,2.112956542969e+17,1.061638218432e-22,6.347149964948e+01,2.094559488433e+01,4.540796486022e+01,1.800024386627e+08,6.337914257591e+02,1.000000000000e+00,9.859100292154e+27
1277,2.114611816406e+17,1.059977373522e-22,6.337220375442e+01,2.091282723897e+01,4.533692786666e+01,1.800024391702e+08,6.335095879774e+02,1.000000000000e+00,9.859105505486e+27
1278,2.116267089844e+17,1.058319427936e-22,6.327308119944e+01,2.088011679582e+01,4.526601488180e+01,1.800024396769e+08,6.332291751695e+02,1.000000000000e+00,9.859101441334e+27
1279,2.117922363281e+17,1.056665834961e-22,6.317421887128e+01,2.084749222753e+01,4.519528806507e+01,1.800024401828e+08,6.329485325704e+02,1.000000000000e+00,9.859101729444e+27
1280,2.119577636719e+17,1.055016461134e-22,6.307560879069e+01,2.081495090094e+01,4.512474170806e+01,1.800024406864e+08,6.326678235642e+02,1.000000000000e+00,9.859105256428e+27
1281,2.121232910156e+17,1.053369968663e-22,6.297717097592e+01,2.078246642205e+01,4.505431859122e+01,1.800024411896e+08,6.323888526863e+02,1.000000000000e+00,9.859099629380e+27
1282,2.122888183594e+17,1.051728411208e-22,6.287902820787e+01,2.075007930859e+01,4.498410655293e+01,1.800024416922e+08,6.321086251385e+02,1.000000000000e+00,9.859104169632e+27
1283,2.124543457031e+17,1.050090128121e-22,6.278108120240e+01,2.071775679678e+01,4.491403456461e+01,1.800024421939e+08,6.318297180237e+02,1.000000000000e+00,9.859103445871e+27
1284,2.126198730469e+17,1.048455385114e-22,6.268334584548e+01,2.068550412902e+01,4.484411399121e+01,1.800024426959e+08,6.315512145144e+02,1.000000000000e+00,9.859100044348e+27
1285,2.127854003906e+17,1.046825459511e-22,6.258589850368e+01,2.065334650621e+01,4.477439946581e+01,1.800024431969e+08,6.312718324799e+02,1.000000000000e+00,9.859106094535e+27
1286,2.129509277344e+17,1.045198161952e-22,6.248860828311e+01,2.062124073342e+01,4.470479734610e+01,1.800024436969e+08,6.309943299857e+02,1.000000000000e+00,9.859101100704e+27
1287,2.131164550781e+17,1.043575327575e-22,6.239158490000e+01,2.058922301700e+01,4.463538612383e+01,1.800024441969e+08,6.307161113382e+02,1.000000000000e+00,9.859102460104e+27
1288,2.132819824219e+17,1.041956480779e-22,6.229479991990e+01,2.055728397357e+01,4.456614545676e+01,1.800024446948e+08,6.304381330394e+02,1.000000000000e+00,9.859105813467e+27
1289,2.134475097656e+17,1.040340385520e-22,6.219817944422e+01,2.052539921658e+01,4.449702247731e+01,1.800024451921e+08,6.301616098241e+02,1.000000000000e+00,9.859099567326e+27
1290,2.136130371094e+17,1.038729288532e-22,6.210185779704e+01,2.049361307302e+01,4.442811328194e+01,1.800024456888e+08,6.298839833033e+02,1.000000000000e+00,9.859105112596e+27
1291,2.137785644531e+17,1.037121147895e-22,6.200571289936e+01,2.046188525680e+01,4.435933053445e+01,1.800024461840e+08,6.296075573677e+02,1.000000000000e+00,9.859103203726e+27
1292,2.139440917969e+17,1.035516593305e-22,6.190978239844e+01,2.043022819148e+01,4.429070116788e+01,1.800024466793e+08,6.293318715173e+02,1.000000000000e+00,9.859099911524e+27
