raw_index,r_cm,rho_g_cm3,proton_equivalent_n_cm3,nH_X033_cm3,nH_ambientnorm_cm3,velocity_cm_s,temperature_K,wind1,shell_mass_g
1912,3.165710449219e+17,9.656169842636e-22,5.773073822525e+02,1.905114361433e+02,4.130098307372e+02,4.494103812331e+07,4.725098648878e+03,1.000000000000e+00,2.012921716736e+29
1914,3.169020996094e+17,9.871618603646e-22,5.901882824702e+02,1.947621332152e+02,4.222249188899e+02,4.495830361029e+07,4.775581603326e+03,1.000000000000e+00,2.062140305670e+29
1917,3.173986816406e+17,1.014282013640e-21,6.064024387546e+02,2.001128047890e+02,4.338246422754e+02,4.498008215349e+07,4.839582080659e+03,1.000000000000e+00,2.125438637254e+29
1920,3.178952636719e+17,1.035415321099e-21,6.190372770044e+02,2.042823014116e+02,4.428636959365e+02,4.499736011696e+07,4.890585826634e+03,1.000000000000e+00,2.176518243230e+29
1923,3.183918457031e+17,1.051106605169e-21,6.284185267942e+02,2.073781138421e+02,4.495751091399e+02,4.501071741187e+07,4.930048060589e+03,1.000000000000e+00,2.216410751599e+29
1926,3.188884277344e+17,1.062097395899e-21,6.349895220528e+02,2.095465422775e+02,4.542760461503e+02,4.502078052306e+07,4.959607394522e+03,1.000000000000e+00,2.246577848791e+29
1930,3.195505371094e+17,1.070886664291e-21,6.402443069313e+02,2.112806212873e+02,4.580353568395e+02,4.503015263188e+07,4.986498598891e+03,1.000000000000e+00,2.274585278483e+29
1938,3.208747558594e+17,1.075722403247e-21,6.431354199124e+02,2.122346885711e+02,4.601036797463e+02,4.503993700727e+07,5.010278273347e+03,1.000000000000e+00,2.303832634206e+29
1947,3.223645019531e+17,1.072555437165e-21,6.412420057241e+02,2.116098618889e+02,4.587491176924e+02,4.504424581467e+07,5.017692421338e+03,1.000000000000e+00,2.318428907652e+29
1966,3.255095214844e+17,1.048337891176e-21,6.267632130896e+02,2.068318603196e+02,4.483908858753e+02,4.504451457915e+07,5.000662794977e+03,1.000000000000e+00,2.310512308659e+29
2047,3.389172363281e+17,9.678398218429e-22,5.786363362425e+02,1.909499909600e+02,4.139605739277e+02,4.504963337854e+07,4.944768015919e+03,1.000000000000e+00,2.312439663064e+29
