cell_index,radius_cm,rho_g_cm3,proton_equivalent_n_cm3,velocity_cm_s,temperature_k,wind1_tracer
740,2.451459960938e+17,1.854422008231e-21,1.108691678595e+03,4.505000871496e+07,5.546481330743e+03,1.000000000000e+00
741,2.454770507812e+17,1.849424475198e-21,1.105703834802e+03,4.504999638797e+07,5.542560485779e+03,1.000000000000e+00
742,2.458081054688e+17,1.844446052344e-21,1.102727416292e+03,4.504998255926e+07,5.539081568176e+03,1.000000000000e+00
743,2.461391601562e+17,1.839486822363e-21,1.099762472505e+03,4.504996756121e+07,5.536040587066e+03,1.000000000000e+00
744,2.464702148438e+17,1.834547175613e-21,1.096809236821e+03,4.504995298171e+07,5.533422527456e+03,1.000000000000e+00
745,2.468012695312e+17,1.829627339562e-21,1.093867845237e+03,4.504994005467e+07,5.531207353995e+03,1.000000000000e+00
746,2.471323242188e+17,1.824727327712e-21,1.090938305823e+03,4.504992840578e+07,5.529379688316e+03,1.000000000000e+00
747,2.474633789062e+17,1.819846700829e-21,1.088020355978e+03,4.504991774550e+07,5.527932351321e+03,1.000000000000e+00
748,2.477944335938e+17,1.814984883890e-21,1.085113651916e+03,4.504990797139e+07,5.526868681218e+03,1.000000000000e+00
749,2.481254882812e+17,1.810141753990e-21,1.082218120158e+03,4.504989927617e+07,5.526197247277e+03,1.000000000000e+00
750,2.484565429688e+17,1.805317487739e-21,1.079333866291e+03,4.504989211434e+07,5.525922172158e+03,1.000000000000e+00
751,2.487875976562e+17,1.800512368381e-21,1.076461059657e+03,4.504988702361e+07,5.526038256792e+03,1.000000000000e+00
752,2.491186523438e+17,1.795726796934e-21,1.073599940011e+03,4.504988433626e+07,5.526528403162e+03,1.000000000000e+00
753,2.494497070312e+17,1.790960070090e-21,1.070750086869e+03,4.504988375221e+07,5.527359206600e+03,1.000000000000e+00
754,2.497807617188e+17,1.786211093699e-21,1.067910846080e+03,4.504988457678e+07,5.528485461511e+03,1.000000000000e+00
755,2.501118164062e+17,1.781479822742e-21,1.065082190727e+03,4.504988815711e+07,5.529854629396e+03,1.000000000000e+00
756,2.504428710938e+17,1.776766637561e-21,1.062264348204e+03,4.504989600609e+07,5.531406603369e+03,1.000000000000e+00
757,2.507739257812e+17,1.772071818796e-21,1.059457486296e+03,4.504990881002e+07,5.533084781678e+03,1.000000000000e+00
758,2.511049804688e+17,1.767396236946e-21,1.056662125441e+03,4.504992656052e+07,5.534834162460e+03,1.000000000000e+00
759,2.514360351562e+17,1.762740657268e-21,1.053878723160e+03,4.504994885430e+07,5.536607710324e+03,1.000000000000e+00
760,2.517670898438e+17,1.758104573027e-21,1.051106976494e+03,4.504997515557e+07,5.538371086226e+03,1.000000000000e+00
761,2.520981445312e+17,1.753487077818e-21,1.048346343536e+03,4.505000492133e+07,5.540100580559e+03,1.000000000000e+00
762,2.524291992188e+17,1.748887378238e-21,1.045596349939e+03,4.505003763888e+07,5.541784712259e+03,1.000000000000e+00
763,2.527602539062e+17,1.744304953502e-21,1.042856684345e+03,4.505007287005e+07,5.543418222523e+03,1.000000000000e+00
764,2.530913085938e+17,1.739739809795e-21,1.040127350452e+03,4.505011030775e+07,5.544987311014e+03,1.000000000000e+00
765,2.534223632812e+17,1.735192844615e-21,1.037408884840e+03,4.505014982090e+07,5.546467301817e+03,1.000000000000e+00
766,2.537534179688e+17,1.730664649140e-21,1.034701640956e+03,4.505019146589e+07,5.547827214822e+03,1.000000000000e+00
767,2.540844726562e+17,1.726154961844e-21,1.032005462440e+03,4.505023544350e+07,5.549033530845e+03,1.000000000000e+00
768,2.544155273438e+17,1.721663421670e-21,1.029320133430e+03,4.505028200942e+07,5.550050083439e+03,1.000000000000e+00
769,2.547465820312e+17,1.717189664365e-21,1.026645436152e+03,4.505033136743e+07,5.550839528915e+03,1.000000000000e+00
770,2.550776367188e+17,1.712733267305e-21,1.023981117936e+03,4.505038357188e+07,5.551366656784e+03,1.000000000000e+00
771,2.554086914062e+17,1.708293908107e-21,1.021326986040e+03,4.505043846595e+07,5.551599203281e+03,1.000000000000e+00
772,2.557397460938e+17,1.703871721094e-21,1.018683120771e+03,4.505049566292e+07,5.551509404976e+03,1.000000000000e+00
773,2.560708007812e+17,1.699467058333e-21,1.016049732616e+03,4.505055457534e+07,5.551075409373e+03,1.000000000000e+00
774,2.564018554688e+17,1.695079945337e-21,1.013426836830e+03,4.505061448807e+07,5.550283500237e+03,1.000000000000e+00
775,2.567329101562e+17,1.690710030584e-21,1.010814223249e+03,4.505067455332e+07,5.549128430870e+03,1.000000000000e+00
776,2.570639648438e+17,1.686356995927e-21,1.008211701666e+03,4.505073423035e+07,5.547609914803e+03,1.000000000000e+00
777,2.573950195312e+17,1.682020665993e-21,1.005619167231e+03,4.505079358444e+07,5.545732878465e+03,1.000000000000e+00
778,2.577260742188e+17,1.677701178958e-21,1.003036702555e+03,4.505085230433e+07,5.543504974327e+03,1.000000000000e+00
779,2.580571289062e+17,1.673398930845e-21,1.000464544404e+03,4.505090994903e+07,5.540934899139e+03,1.000000000000e+00
780,2.583881835938e+17,1.669114425447e-21,9.979029939802e+02,4.505096601580e+07,5.538031487992e+03,1.000000000000e+00
781,2.587192382812e+17,1.664847683677e-21,9.953520637849e+02,4.505101999850e+07,5.534805222884e+03,1.000000000000e+00
782,2.590502929688e+17,1.660597877666e-21,9.928112588660e+02,4.505107160608e+07,5.531269794314e+03,1.000000000000e+00
783,2.593813476562e+17,1.656363878741e-21,9.902799044309e+02,4.505112099682e+07,5.527440585098e+03,1.000000000000e+00
784,2.597124023438e+17,1.652144928822e-21,9.877575472509e+02,4.505116841166e+07,5.523334753975e+03,1.000000000000e+00
785,2.600434570312e+17,1.647940797641e-21,9.852440496567e+02,4.505121382165e+07,5.518972136544e+03,1.000000000000e+00
786,2.603745117188e+17,1.643751814226e-21,9.827396083627e+02,4.505125725244e+07,5.514375038324e+03,1.000000000000e+00
787,2.607055664062e+17,1.639578789147e-21,9.802447079793e+02,4.505129887377e+07,5.509567658150e+03,1.000000000000e+00
788,2.610366210938e+17,1.635422520620e-21,9.777598257306e+02,4.505133883159e+07,5.504575785602e+03,1.000000000000e+00
789,2.613676757812e+17,1.631283477671e-21,9.752852420299e+02,4.505137704399e+07,5.499424309604e+03,1.000000000000e+00
790,2.616987304688e+17,1.627161137845e-21,9.728206445217e+02,4.505141313871e+07,5.494136361331e+03,1.000000000000e+00
791,2.620297851562e+17,1.623054505892e-21,9.703654381808e+02,4.505144667869e+07,5.488729065251e+03,1.000000000000e+00
792,2.623608398438e+17,1.618962711645e-21,9.679191027662e+02,4.505147745341e+07,5.483210655353e+03,1.000000000000e+00
793,2.626918945312e+17,1.614885571118e-21,9.654815282796e+02,4.505150563074e+07,5.477594981311e+03,1.000000000000e+00
794,2.630229492188e+17,1.610823494864e-21,9.630529601755e+02,4.505153173292e+07,5.471956648065e+03,1.000000000000e+00
795,2.633540039062e+17,1.606777279398e-21,9.606338746614e+02,4.505155615349e+07,5.466312682527e+03,1.000000000000e+00
796,2.636850585938e+17,1.602747252186e-21,9.582244675175e+02,4.505157894669e+07,5.460669359590e+03,1.000000000000e+00
797,2.640161132812e+17,1.598732990549e-21,9.558244860394e+02,4.505160011945e+07,5.455042059530e+03,1.000000000000e+00
798,2.643471679688e+17,1.594733532395e-21,9.534333550267e+02,4.505161981522e+07,5.449448396060e+03,1.000000000000e+00
799,2.646782226562e+17,1.590747903517e-21,9.510504920366e+02,4.505163818490e+07,5.443903822559e+03,1.000000000000e+00
800,2.650092773438e+17,1.586775699390e-21,9.486756552191e+02,4.505165527597e+07,5.438424046398e+03,1.000000000000e+00
801,2.653403320312e+17,1.582817297087e-21,9.463090700109e+02,4.505167106166e+07,5.433021055259e+03,1.000000000000e+00
802,2.656713867188e+17,1.578873636977e-21,9.439512986258e+02,4.505168549410e+07,5.427704362911e+03,1.000000000000e+00
803,2.660024414062e+17,1.574945576788e-21,9.416028538676e+02,4.505169854964e+07,5.422484234268e+03,1.000000000000e+00
804,2.663334960938e+17,1.571033297671e-21,9.392638440402e+02,4.505171033580e+07,5.417374412366e+03,1.000000000000e+00
805,2.666645507812e+17,1.567136418273e-21,9.369340411466e+02,4.505172115026e+07,5.412388803457e+03,1.000000000000e+00
806,2.669956054688e+17,1.563253843058e-21,9.346127902052e+02,4.505173137285e+07,5.407542171584e+03,1.000000000000e+00
807,2.673266601562e+17,1.559384749031e-21,9.322995991771e+02,4.505174115362e+07,5.402835678665e+03,1.000000000000e+00
808,2.676577148438e+17,1.555528904065e-21,9.299943292821e+02,4.505175037600e+07,5.398274969215e+03,1.000000000000e+00
809,2.679887695312e+17,1.551686795539e-21,9.276972719073e+02,4.505175890966e+07,5.393865515757e+03,1.000000000000e+00
810,2.683198242188e+17,1.547858993598e-21,9.254087679199e+02,4.505176679940e+07,5.389616418917e+03,1.000000000000e+00
811,2.686508789062e+17,1.544046073669e-21,9.231291613487e+02,4.505177430513e+07,5.385537962939e+03,1.000000000000e+00
812,2.689819335938e+17,1.540247988265e-21,9.208584238013e+02,4.505178170186e+07,5.381630956725e+03,1.000000000000e+00
813,2.693129882812e+17,1.536464063508e-21,9.185961523920e+02,4.505178909627e+07,5.377896660401e+03,1.000000000000e+00
814,2.696440429688e+17,1.532693225703e-21,9.163417051966e+02,4.505179640343e+07,5.374332396693e+03,1.000000000000e+00
815,2.699750976562e+17,1.528935019423e-21,9.140948099316e+02,4.505180342610e+07,5.370935681761e+03,1.000000000000e+00
816,2.703061523438e+17,1.525189667240e-21,9.118555996657e+02,4.505181003949e+07,5.367711869204e+03,1.000000000000e+00
817,2.706372070312e+17,1.521458088263e-21,9.096246238997e+02,4.505181627807e+07,5.364666320856e+03,1.000000000000e+00
818,2.709682617188e+17,1.517741297769e-21,9.074024896320e+02,4.505182229592e+07,5.361808496227e+03,1.000000000000e+00
819,2.712993164062e+17,1.514039756130e-21,9.051894721011e+02,4.505182826265e+07,5.359148843118e+03,1.000000000000e+00
820,2.716303710938e+17,1.510353106549e-21,9.029853579921e+02,4.505183426330e+07,5.356689898670e+03,1.000000000000e+00
821,2.719614257812e+17,1.506679926990e-21,9.007892971210e+02,4.505184041054e+07,5.354428824596e+03,1.000000000000e+00
822,2.722924804688e+17,1.503018661888e-21,8.986003594718e+02,4.505184686393e+07,5.352355019144e+03,1.000000000000e+00
823,2.726235351562e+17,1.499368620753e-21,8.964181322251e+02,4.505185378285e+07,5.350456382978e+03,1.000000000000e+00
824,2.729545898438e+17,1.495730165640e-21,8.942428318413e+02,4.505186129104e+07,5.348721096862e+03,1.000000000000e+00
825,2.732856445312e+17,1.492104488212e-21,8.920751707713e+02,4.505186946033e+07,5.347140930765e+03,1.000000000000e+00
826,2.736166992188e+17,1.488492814820e-21,8.899158822077e+02,4.505187831323e+07,5.345711092799e+03,1.000000000000e+00
