scenario,solver,t_obs_s,nearest_track_time_s,nearest_radius_cm,gamma_e,dnde,gamma2_dnde
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.54146182e+01,4.92543552e+42,6.17745750e+45
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.28202125e+01,7.77436318e+42,1.42548438e+46
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,5.17743998e+01,1.28536679e+43,3.44553939e+46
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,6.26010082e+01,2.27056886e+43,8.89810104e+46
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,7.56915820e+01,4.39424238e+43,2.51755619e+47
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,9.15195418e+01,9.48544517e+43,7.94484433e+47
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.10657306e+02,2.27628923e+44,2.78732510e+48
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.33796991e+02,5.92095561e+44,1.05994785e+49
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.61775444e+02,1.61214675e+45,4.21919670e+49
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.95604506e+02,4.45458968e+45,1.70437603e+50
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.36507605e+02,1.21617334e+46,6.80276859e+50
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.85964001e+02,3.21497992e+46,2.62906300e+51
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.45762284e+02,8.11064099e+46,9.69639762e+51
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.18065061e+02,1.93067717e+47,3.37440657e+52
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,5.05487160e+02,4.29532651e+47,1.09753010e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,6.11190201e+02,8.86016789e+47,3.30974638e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,7.38996935e+02,1.68563383e+48,9.20552396e+53
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,8.93529493e+02,2.96037581e+48,2.36354911e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.08037654e+03,4.86303075e+48,5.67619501e+54
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.30629541e+03,7.69086611e+48,1.31237531e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.57945645e+03,1.16009128e+49,2.89405961e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.90973853e+03,1.02009699e+49,3.72039700e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.30908630e+03,7.31994066e+48,3.90290418e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,2.79194217e+03,4.92674744e+48,3.84037062e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,3.37576863e+03,3.24722758e+48,3.70048011e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.08167976e+03,2.10865027e+48,3.51303448e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,4.93520484e+03,1.35524557e+48,3.30086956e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,5.96721159e+03,8.64747195e+47,3.07915844e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,7.21502254e+03,5.48899522e+47,2.85738155e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,8.72376477e+03,3.47022698e+47,2.64098403e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.05480019e+04,2.18652189e+47,2.43273179e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.27537076e+04,1.37330725e+47,2.23378116e+55
multi_density_jump,fullhide_1d,1.00000000e+05,8.94667946e+04,2.78183395e+17,1.54206511e+04,8.59765387e+46,2.04449182e+55
