scenario,solver,component,band,frequency_hz,time_s,flux_mjy
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.832980710832e+00,7.051337850617e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.225196770956e+00,1.194525860622e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.701338121133e+00,1.931099224917e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.279362859021e+00,2.962714871824e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.981071705535e+00,4.273048899908e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.832930238572e+00,5.797951538839e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.867067065993e+00,7.472614670137e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,7.122485584860e+00,9.218745336363e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,8.646535029500e+00,1.046721003170e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.049669629031e+01,1.126947542739e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.274274985703e+01,1.319199226400e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.546940765246e+01,1.532783062502e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.877950801851e+01,1.694167329512e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.279789435644e+01,1.873562043578e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.767612370754e+01,2.043434699640e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.359818286284e+01,2.196644712711e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.078742758969e+01,2.347616897420e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.951500669473e+01,2.455561771570e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,6.011008864406e+01,2.461848906514e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,7.297227644686e+01,2.448916417733e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,8.858667904101e+01,2.398009213733e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.075422076113e+02,2.286892180341e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.305537869023e+02,2.139978463276e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.584893192461e+02,1.968411491879e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.924024182760e+02,1.782851274529e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.335721469090e+02,1.577500926284e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.835512583497e+02,1.348331402398e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.442247595686e+02,1.153790648328e-24
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.178810060294e+02,9.845498227442e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.072980090654e+02,8.261255324647e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,6.158482110660e+02,6.841863447860e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,7.476256801638e+02,5.637016246292e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,9.076005216818e+02,4.622826039749e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.101806330110e+03,3.757969198974e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.337567751526e+03,3.062074876739e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.623776739189e+03,2.485255168310e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,1.971227921518e+03,2.013713920306e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.393025731180e+03,1.634810988934e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,2.905078650511e+03,1.324155042000e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,3.526699214175e+03,1.071141348307e-25
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,4.281332398719e+03,8.653937030210e-26
ism_continuous_jumps,fullhide_1d,total,1 keV,2.417989242000e+17,5.197439870872e+03,6.972428954316e-26
